Zipcode,Latitude,Longitude,City,County,Metro,State,MedianPriceAll,MedianPrice1Bed,MedianPrice2Bed,MedianPrice3Bed,MedianPrice4Bed,MedianPrice5PlusBed
55412,45.027476,-93.303546,Minneapolis,Hennepin,Minneapolis-St Paul,MN,139800,103800,130800,147900,161500,166200
55413,44.999463,-93.241677,Minneapolis,Hennepin,Minneapolis-St Paul,MN,222200,207800,227300,242700,261500,
55414,44.979486,-93.227314,Minneapolis,Hennepin,Minneapolis-St Paul,MN,258500,189800,260000,276800,329000,388300
55415,44.9748,-93.257647,Minneapolis,Hennepin,Minneapolis-St Paul,MN,359700,,308100,,,
55416,44.950191,-93.336325,Saint Louis Park,Hennepin,Minneapolis-St Paul,MN,300000,177200,267500,357500,481900,544400
55417,44.90444,-93.230407,Minneapolis,Hennepin,Minneapolis-St Paul,MN,257800,155900,234500,272700,331800,369700
55418,45.021318,-93.242853,Minneapolis,Hennepin,Minneapolis-St Paul,MN,232600,149900,208600,240900,273700,310200
55419,44.905799,-93.287653,Minneapolis,Hennepin,Minneapolis-St Paul,MN,362800,215000,276700,366400,508800,640400
55420,44.835969,-93.277176,Bloomington,Hennepin,Minneapolis-St Paul,MN,221600,152200,196300,222200,234200,252300
55421,45.050884,-93.253812,Columbia Heights,Anoka,Minneapolis-St Paul,MN,180200,,167900,184000,220200,239900
55422,45.009275,-93.341105,Robbinsdale,Hennepin,Minneapolis-St Paul,MN,216900,130500,183700,215100,262900,319700
55423,44.87446,-93.282529,Richfield,Hennepin,Minneapolis-St Paul,MN,226500,95700,208000,227000,240200,260000
55424,44.905024,-93.344865,Edina,Hennepin,Minneapolis-St Paul,MN,707800,,529500,619200,863500,1131500
55425,44.851166,-93.226013,Bloomington,Hennepin,Minneapolis-St Paul,MN,215400,201600,214700,222900,241300,270200
55426,44.958311,-93.374096,Saint Louis Park,Hennepin,Minneapolis-St Paul,MN,249900,114100,216900,256800,303400,403200
55427,45.005499,-93.37915,Golden Valley,Hennepin,Minneapolis-St Paul,MN,245700,,204600,239400,266400,312000
55428,45.06295,-93.381362,New Hope,Hennepin,Minneapolis-St Paul,MN,196700,,176500,195700,216600,229700
55429,45.063552,-93.341097,Brooklyn Center,Hennepin,Minneapolis-St Paul,MN,177000,,167600,177400,186100,199200
55430,45.067676,-93.302089,Brooklyn Center,Hennepin,Minneapolis-St Paul,MN,169600,116600,150100,170700,184400,209700
55431,44.824534,-93.312602,Bloomington,Hennepin,Minneapolis-St Paul,MN,251600,139400,234000,249700,269500,293900
55432,45.096702,-93.253726,Fridley,Anoka,Minneapolis-St Paul,MN,189900,,175200,193500,227700,241100
55433,45.160411,-93.314839,Coon Rapids,Anoka,Minneapolis-St Paul,MN,192500,,161400,193700,222200,226100
55434,45.163686,-93.250434,Blaine,Anoka,Minneapolis-St Paul,MN,204200,,167300,198800,230600,262000
55436,44.90414,-93.373157,Edina,Hennepin,Minneapolis-St Paul,MN,449200,114800,328200,474900,588600,822400
55437,44.824347,-93.342996,Bloomington,Hennepin,Minneapolis-St Paul,MN,275300,134200,183500,267000,328000,367400
55438,44.823132,-93.38611,Bloomington,Hennepin,Minneapolis-St Paul,MN,293300,130900,161100,308600,367100,443200
55439,44.87563,-93.374747,Edina,Hennepin,Minneapolis-St Paul,MN,491300,273300,311900,450300,556000,661300
55441,45.006321,-93.424636,Plymouth,Hennepin,Minneapolis-St Paul,MN,315800,,218500,340300,409000,567700
55442,45.04892,-93.426212,Plymouth,Hennepin,Minneapolis-St Paul,MN,327800,,146700,339700,375000,
55443,45.117609,-93.338118,Brooklyn Park,Hennepin,Minneapolis-St Paul,MN,249800,226400,201200,241900,349000,352600
55444,45.103999,-93.301791,Brooklyn Park,Hennepin,Minneapolis-St Paul,MN,216900,,211000,225400,264800,
55445,45.122441,-93.379184,Brooklyn Park,Hennepin,Minneapolis-St Paul,MN,221500,,201200,242400,324000,
55446,45.03914,-93.489701,Plymouth,Hennepin,Minneapolis-St Paul,MN,365800,,202700,352000,493600,595200
55447,45.001096,-93.489561,Plymouth,Hennepin,Minneapolis-St Paul,MN,332500,,185500,317100,427300,548100
55448,45.193638,-93.300544,Coon Rapids,Anoka,Minneapolis-St Paul,MN,220100,,167700,215500,242900,270700
55449,45.17658,-93.181858,Blaine,Anoka,Minneapolis-St Paul,MN,298400,,191200,295600,358800,419600
