Latitude,Longitude,City,County,Metro,State,MedianPrice,MedianPrice1Bed,MedianPrice2Bed,MedianPrice3Bed,MedianPrice4Bed,MedianPrice5PlusBed
42.3250896,-72.6412013,Northampton,Hampshire,Springfield,MA,270500.0,139600.0,217300.0,274800.0,381600.0,482800.0
42.2584245,-72.5745332,"South Hadley",Hampshire,Springfield,MA,218100.0,112800.0,176200.0,222400.0,274000.0,344600.0
42.4850931,-71.43284,Acton,Middlesex,Boston,MA,553100.0,134100.0,282200.0,501700.0,656200.0,743000.0
42.4153739,-71.1564428,Arlington,Middlesex,Boston,MA,685900.0,290100.0,547800.0,718600.0,806300.0,932100.0
42.3959296,-71.1786655,Belmont,Middlesex,Boston,MA,953900.0,360900.0,605500.0,937300.0,1110700.0,1391500.0
42.5584264,-71.268947,Billerica,Middlesex,Boston,MA,418900.0,145800.0,334700.0,422000.0,451400.0,469400.0
42.5048167,-71.1956111,Burlington,Middlesex,Boston,MA,525800.0,208300.0,482600.0,502000.0,606900.0,637500.0
42.375097,-71.1056079,Cambridge,Middlesex,Boston,MA,734400.0,538700.0,704700.0,943700.0,1414500.0,2203300.0
42.4603719,-71.3489484,Concord,Middlesex,Boston,MA,856100.0,363000.0,485800.0,723000.0,969500.0,1573600.0
42.6703687,-71.3020052,Dracut,Middlesex,Boston,MA,312300.0,110800.0,210000.0,328000.0,398300.0,408100.0
42.40843,-71.0536625,Everett,Middlesex,Boston,MA,377300.0,198100.0,328300.0,390500.0,435500.0,451000.0
42.4473175,-71.2245003,Lexington,Middlesex,Boston,MA,944300.0,415400.0,657000.0,835600.0,1144400.0,1551700.0
42.6334247,-71.3161718,Lowell,Middlesex,Boston,MA,259500.0,149400.0,196300.0,279800.0,301100.0,389600.0
42.4250964,-71.066163,Malden,Middlesex,Boston,MA,406500.0,247200.0,347500.0,430400.0,471300.0,552300.0
42.4184296,-71.1061639,Medford,Middlesex,Boston,MA,537100.0,338600.0,461400.0,563500.0,629400.0,729600.0
42.4584292,-71.0661633,Melrose,Middlesex,Boston,MA,587600.0,249700.0,455400.0,587700.0,670900.0,740000.0
42.2834298,-71.3495032,Natick,Middlesex,Boston,MA,526100.0,193000.0,415900.0,517500.0,675600.0,781400.0
42.3370414,-71.2092214,Newton,Middlesex,Boston,MA,963700.0,426100.0,642200.0,861100.0,1175700.0,1530800.0
42.5750939,-71.0786653,"North Reading",Middlesex,Boston,MA,518600.0,187800.0,400100.0,494600.0,723200.0,750800.0
42.5256502,-71.0953314,Reading,Middlesex,Boston,MA,570400.0,245500.0,442500.0,556000.0,670600.0,716900.0
42.3875968,-71.0994968,Somerville,Middlesex,Boston,MA,613700.0,433400.0,579200.0,715300.0,812000.0,910400.0
42.4800954,-71.0994976,Stoneham,Middlesex,Boston,MA,498900.0,230300.0,350300.0,528400.0,624500.0,669200.0
42.506484,-71.0728306,Wakefield,Middlesex,Boston,MA,508000.0,226300.0,419700.0,509200.0,612200.0,672300.0
42.3764852,-71.2356113,Waltham,Middlesex,Boston,MA,548500.0,287500.0,484000.0,559900.0,625100.0,715200.0
42.3709299,-71.1828321,Watertown,Middlesex,Boston,MA,560700.0,375100.0,475500.0,624600.0,717800.0,841700.0
42.5792583,-71.4378411,Westford,Middlesex,Boston,MA,528000.0,269200.0,361800.0,451000.0,662600.0,687600.0
42.4523178,-71.1369982,Winchester,Middlesex,Boston,MA,979800.0,227900.0,601500.0,884600.0,1186300.0,1542300.0
42.4792618,-71.1522766,Woburn,Middlesex,Boston,MA,449500.0,186200.0,392900.0,448300.0,513400.0,544300.0
42.2223218,-70.999492,Braintree,Norfolk,Boston,MA,455400.0,293100.0,363900.0,454300.0,569600.0,632600.0
42.3317642,-71.1211635,Brookline,Norfolk,Boston,MA,819800.0,534200.0,723400.0,984800.0,1579700.0,2311600.0
42.1584324,-71.1447732,Canton,Norfolk,Boston,MA,483400.0,159600.0,362600.0,479500.0,668300.0,815000.0
